Year,Month,Day,Timeline,Passengers,Morning Commute,Evening Commute,Late Night,Annual seasonal outiler,Lotte World,Lotte World Mall,Day_Friday,Day_Thursday,Day_Wednesday,Day_Monday,Day_Sunday,Day_Saturday,Day_Tuesday,Day_Holiday
2025,7,30,0,467,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2025,7,30,1,1145,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2025,7,30,2,1108,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2025,7,30,3,1904,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2025,7,30,4,2593,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2025,7,30,5,2994,0,0,0,1,1,1,0,0,0,0,1,0,0,1
2025,7,30,6,4076,0,0,0,1,1,1,0,0,0,0,1,0,0,1
2025,7,30,7,5096,0,0,0,0,1,1,0,0,0,0,1,0,0,1
2025,7,30,8,5779,0,0,0,0,1,1,0,0,0,0,1,0,0,1
2025,7,30,9,5874,0,0,0,0,1,1,0,0,0,0,1,0,0,1
2025,7,30,10,6547,0,0,0,0,1,1,0,0,0,0,1,0,0,1
2025,7,30,11,7687,0,0,0,0,1,1,0,0,0,0,1,0,0,1
2025,7,30,12,7368,0,0,0,1,1,1,0,0,0,0,1,0,0,1
2025,7,30,13,6804,0,0,0,0,1,1,0,0,0,0,1,0,0,1
2025,7,30,14,5585,0,0,0,0,1,1,0,0,0,0,1,0,0,1
2025,7,30,15,5355,0,0,0,1,1,1,0,0,0,0,1,0,0,1
2025,7,30,16,5024,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2025,7,30,17,3559,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2025,7,30,18,1139,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2025,7,30,19,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
2025,7,31,0,634,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2025,7,31,1,3008,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025,7,31,2,8178,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2025,7,31,3,13913,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2025,7,31,4,10031,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2025,7,31,5,5575,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2025,7,31,6,5376,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2025,7,31,7,5809,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2025,7,31,8,5913,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2025,7,31,9,6069,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2025,7,31,10,6865,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2025,7,31,11,8142,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2025,7,31,12,11086,0,1,0,0,1,1,0,0,0,1,0,0,0,0
2025,7,31,13,17567,0,1,0,0,1,1,0,0,0,1,0,0,0,0
2025,7,31,14,12117,0,1,0,0,1,1,0,0,0,1,0,0,0,0
2025,7,31,15,8535,0,0,0,0,1,1,0,0,0,1,0,0,0,0
2025,7,31,16,6638,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2025,7,31,17,5247,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2025,7,31,18,1874,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2025,8,31,19,395,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2025,8,1,0,578,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2025,8,1,1,3063,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2025,8,1,2,8151,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2025,8,1,3,14749,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2025,8,1,4,10975,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2025,8,1,5,6707,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2025,8,1,6,6142,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2025,8,1,7,5995,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2025,8,1,8,6311,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2025,8,1,9,6527,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2025,8,1,10,7418,0,0,0,0,1,1,0,0,0,0,0,0,1,0
