Year,Month,Day,Timeline,Passengers,Morning Commute,Evening Commute,Late Night,Annual seasonal outiler,Lotte World,Lotte World Mall,Day_Friday,Day_Thursday,Day_Wednesday,Day_Monday,Day_Sunday,Day_Saturday,Day_Tuesday,Day_Holiday
2025,8,5,3,3904,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025,8,5,4,6407,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025,8,5,5,6553,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025,8,5,6,8728,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025,8,5,7,9357,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025,8,5,8,10153,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025,8,5,9,11037,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025,8,5,10,11504,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025,8,5,11,13379,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025,8,5,12,12954,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025,8,5,13,10785,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025,8,5,14,8563,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025,8,5,15,8637,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025,8,5,16,8281,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2025,8,5,17,6771,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025,8,5,18,3063,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2025,8,5,19,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0
